epoch,train_loss,test_loss,test_rmse,test_mae,time
1,9.41380446208e9,9.258439e9,96220.78,96179.16,5.593652009963989
2,8.51908133888e9,7.3047634e9,85467.91,85426.92,0.13702893257141113
3,5.1704485376e9,2.736147e9,52308.19,52266.56,0.11932802200317383
4,1.05499695456e9,8.457087e7,9196.242,9093.77,0.12034296989440918
5,1.295751356375e7,1.8280761e6,1352.0636,1119.5098,0.12103605270385742
6,1.647145565e6,1.4912629e6,1221.1727,995.285,0.12783122062683105
7,1.561086e6,1.49262e6,1221.7283,994.87897,0.11938214302062988
8,1.556916905e6,1.4880161e6,1219.8427,995.01166,0.12024807929992676
9,1.5550681075e6,1.4880061e6,1219.8386,994.2725,0.11892294883728027
10,1.55729755375e6,1.4865365e6,1219.2361,993.9342,0.12301397323608398
11,1.553466645e6,1.4868966e6,1219.3837,993.33905,0.12218904495239258
12,1.550705305e6,1.4839275e6,1218.1656,993.03687,0.40948987007141113
13,1.54979713875e6,1.481748e6,1217.2708,994.8095,0.12018299102783203
14,1.54932591e6,1.4805901e6,1216.795,992.16064,0.11047482490539551
15,1.5509278575e6,1.4879235e6,1219.8047,992.0225,0.10728311538696289
16,1.54709879125e6,1.4784359e6,1215.9094,990.95654,0.16579890251159668
17,1.54161136625e6,1.4747555e6,1214.3951,990.77765,0.29073095321655273
18,1.53965995875e6,1.4745041e6,1214.2916,989.87573,0.4982149600982666
19,1.53660509625e6,1.4706035e6,1212.6844,989.88226,0.5654489994049072
20,1.5344529275e6,1.4710144e6,1212.8538,988.6283,0.5665600299835205
21,1.53390560375e6,1.4691256e6,1212.075,987.9817,0.501378059387207
22,1.52910765625e6,1.4684116e6,1211.7804,987.22424,0.4932091236114502
23,1.53250975e6,1.4668302e6,1211.1277,986.54865,1.2730660438537598
24,1.52635449375e6,1.4617852e6,1209.0431,988.7902,1.6633410453796387
25,1.5230494525e6,1.4597234e6,1208.1901,988.2001,1.3148469924926758
26,1.52063872375e6,1.4566436e6,1206.9149,984.4819,0.49489498138427734
27,1.5177679175e6,1.4650375e6,1210.3873,984.47925,0.49623703956604004
28,1.5146022725e6,1.4502939e6,1204.2815,983.2802,0.4961731433868408
29,1.5116281475e6,1.4505484e6,1204.3871,981.93225,0.819329023361206
30,1.51054481125e6,1.4445932e6,1201.9124,981.94635,0.5034000873565674
31,1.5055772775e6,1.4435048e6,1201.4595,980.35345,0.49939608573913574
32,1.50129100875e6,1.4415378e6,1200.6405,982.3925,0.5042281150817871
33,1.49795931875e6,1.4362852e6,1198.4512,978.92065,0.5011930465698242
34,1.49450186125e6,1.4564902e6,1206.8513,980.61896,0.5017900466918945
35,1.49251603875e6,1.430948e6,1196.2224,976.69116,0.5030190944671631
36,1.4773271025e6,1.4562412e6,1206.7482,989.2414,0.5035650730133057
37,1.496211795e6,1.4246939e6,1193.6055,976.4914,0.5034761428833008
38,1.48127581e6,1.4204715e6,1191.8353,974.04,0.5040700435638428
39,1.48026006875e6,1.4290098e6,1195.412,973.2455,0.502816915512085
40,1.472289965e6,1.4244858e6,1193.5182,972.0156,0.5051019191741943
41,1.47505034625e6,1.4131464e6,1188.7583,970.2097,1.1760058403015137
42,1.466696085e6,1.4429246e6,1201.218,985.30304,0.5074810981750488
43,1.4659456675e6,1.4044508e6,1185.0952,970.11127,0.5132949352264404
44,1.4524883175e6,1.4235888e6,1193.1423,970.0086,0.7796750068664551
45,1.4503117325e6,1.3993268e6,1182.9314,965.5789,0.5113780498504639
46,1.4452936675e6,1.4075239e6,1186.3911,965.9918,0.5110940933227539
47,1.4411061075e6,1.397424e6,1182.127,963.7619,0.512286901473999
48,1.4393228575e6,1.385795e6,1177.198,964.07166,1.293583869934082
49,1.42916573625e6,1.380872e6,1175.1051,962.17017,0.5585141181945801
50,1.42725733625e6,1.3770316e6,1173.4698,958.9546,0.8244500160217285
