epoch,train_loss,test_loss,test_rmse,test_mae,time
1,6.375760342645e8,929721.2,964.2205,755.5948,6.306807041168213
2,867358.541375,919820.3,959.07263,751.98254,0.34877991676330566
3,860625.3625,906484.3,952.0947,747.32306,0.3304171562194824
4,850183.57725,893577.2,945.2921,741.58813,0.3338320255279541
5,831960.839,875162.1,935.501,735.41003,0.32093310356140137
6,823519.1235,869352.8,932.3909,728.46014,0.3229949474334717
7,806366.82425,840076.06,916.55664,720.51544,0.5394220352172852
8,786504.25875,831530.25,911.8828,724.4561,0.40167999267578125
9,775125.799,859321.06,926.9957,716.263,0.42594194412231445
10,746465.6685,796112.7,892.25146,710.3121,0.7998089790344238
11,730782.640625,760476.5,872.05304,685.029,0.4763679504394531
12,709859.755,737593.7,858.83276,677.6529,1.0124280452728271
13,686242.55525,722932.8,850.2546,664.8948,0.5809600353240967
14,667829.08375,706399.94,840.476,655.1085,0.4023251533508301
15,653491.61575,673441.5,820.6348,646.7342,0.9372210502624512
16,630164.54625,661284.06,813.1937,646.9757,0.9200549125671387
17,616864.106875,640679.8,800.42474,623.5425,0.8711669445037842
18,587534.026875,616823.5,785.3811,624.3171,0.9059720039367676
19,569840.00225,614429.25,783.85535,605.9097,0.905925989151001
20,556471.73125,576825.44,759.49023,590.32855,0.9369978904724121
21,535703.783,573301.1,757.1665,584.3052,0.814255952835083
22,519444.39775,527555.94,726.33044,566.81445,0.5111029148101807
23,490469.47525,661778.9,813.4979,623.1596,0.4035160541534424
24,484653.573625,505876.2,711.24976,566.5444,0.5237698554992676
25,455925.38075,475739.78,689.73895,547.4115,0.869441032409668
26,444816.259,443388.62,665.8743,520.6872,0.6462490558624268
27,424661.963125,436058.4,660.34717,510.93695,0.823322057723999
28,400159.13025,404898.62,636.31647,496.78558,0.404979944229126
29,376675.475625,408721.03,639.3129,508.74246,0.401932954788208
30,357202.514875,395699.38,629.0464,483.34894,0.608677864074707
31,349745.136875,356818.53,597.3429,472.44415,0.9493341445922852
32,340429.019375,334288.56,578.17694,455.93222,0.8235371112823486
33,313546.7975,311930.62,558.5075,436.5997,0.41489696502685547
34,296955.5845,342097.16,584.89075,469.85245,0.4338350296020508
35,275578.8028125,280160.28,529.3017,410.06677,0.46114087104797363
36,275220.49725,296012.47,544.07025,415.1279,0.4015798568725586
37,251939.462375,248047.1,498.04327,385.049,0.41222691535949707
38,227878.385,228747.45,478.2755,372.76065,0.40391111373901367
39,212100.4501875,213797.52,462.38245,360.50818,0.4176828861236572
40,199146.369875,199216.3,446.33652,347.84412,0.4115159511566162
41,200590.7944375,269983.03,519.59894,396.6935,0.728856086730957
42,187688.3510625,209216.72,457.40213,369.35437,0.39675092697143555
43,164441.609375,159118.42,398.8965,307.67056,0.4397292137145996
44,153886.55296875,146938.4,383.32547,295.41275,0.4204518795013428
45,146369.825125,188534.73,434.20587,355.4558,0.4151449203491211
46,129560.23171875,126691.79,355.9379,271.17697,0.41807103157043457
47,116330.28525,118340.41,344.0064,260.40613,0.41992902755737305
48,112862.4794375,110215.97,331.9879,260.4384,0.42397403717041016
49,103005.4680625,95699.555,309.35345,236.02107,0.4280679225921631
50,88025.56409375,92160.16,303.57892,227.54482,0.4423980712890625
